Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Operating Temperature (C)
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,55%,1.88,44.21,458.0,3908.0,10.36,52.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,60%,2.32,54.29,531.0,4184.0,9.78,52.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,65%,2.75,63.91,592.0,4416.0,9.26,52.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,70%,3.27,75.78,660.0,4664.0,8.71,52.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,75%,3.82,88.36,729.0,4902.0,8.25,52.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,80%,4.4,101.53,798.0,5126.0,7.86,52.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,85%,5.07,117.1,875.0,5357.0,7.47,52.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,90%,5.8,134.1,947.0,5573.0,7.06,52.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,95%,6.56,151.45,1018.0,5777.0,6.72,52.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,100%,7.1,163.53,1068.0,5902.0,6.53,52.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,40%,1.32,20.44,269.0,2994.0,13.16,65.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,45%,1.88,29.13,346.0,3371.0,11.87,65.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,50%,2.48,38.3,417.0,3694.0,10.89,65.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,55%,3.13,48.2,485.0,3989.0,10.06,65.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,60%,3.88,59.69,557.0,4278.0,9.34,65.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,65%,4.64,71.38,626.0,4538.0,8.78,65.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,70%,5.46,83.73,700.0,4777.0,8.36,65.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,75%,6.49,99.46,785.0,5041.0,7.9,65.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,80%,7.59,115.98,863.0,5284.0,7.44,65.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,85%,8.77,133.74,941.0,5510.0,7.04,65.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,90%,10.01,152.4,1015.0,5729.0,6.66,65.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,95%,11.29,171.6,1090.0,5925.0,6.35,65.0
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,24.0,T-MOTOR P13*4.4,100%,12.28,186.36,1138.0,6061.0,6.1,65.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 13*4.4"" CF",50%,0.9,22.0,311.0,3173.0,14.4,30.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 13*4.4"" CF",55%,1.1,26.0,358.0,3415.0,13.56,30.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 13*4.4"" CF",60%,1.4,34.0,416.0,3660.0,12.38,30.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 13*4.4"" CF",65%,1.7,41.0,477.0,3914.0,11.69,30.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 13*4.4"" CF",75%,2.4,58.0,608.0,4394.0,10.56,30.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 13*4.4"" CF",85%,3.3,79.0,754.0,4876.0,9.52,30.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 13*4.4"" CF",100%,4.2,101.0,895.0,5317.0,8.88,30.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 13*4.4"" CF",50%,1.8,43.0,448.0,3813.0,10.37,33.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 13*4.4"" CF",55%,2.2,53.0,535.0,4146.0,10.13,33.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 13*4.4"" CF",60%,2.7,65.0,609.0,4458.0,9.4,33.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 13*4.4"" CF",65%,3.3,79.0,698.0,4736.0,8.81,33.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 13*4.4"" CF",75%,4.6,110.0,885.0,5308.0,8.02,33.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 13*4.4"" CF",85%,6.3,151.0,1067.0,5841.0,7.06,33.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 13*4.4"" CF",100%,8.2,197.0,1311.0,6391.0,6.66,33.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 14*4.8"" CF",50%,1.1,26.0,374.0,3045.0,14.17,44.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 14*4.8"" CF",55%,1.4,34.0,439.0,3285.0,13.07,44.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 14*4.8"" CF",60%,1.7,41.0,507.0,3530.0,12.43,44.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 14*4.8"" CF",65%,2.1,50.0,586.0,3740.0,11.63,44.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 14*4.8"" CF",75%,3.1,74.0,753.0,4208.0,10.12,44.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 14*4.8"" CF",85%,4.3,103.0,930.0,4670.0,9.01,44.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 14*4.8"" CF",100%,5.4,130.0,1107.0,5092.0,8.54,44.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 14*4.8"" CF",50%,2.2,53.0,566.0,3623.0,10.72,54.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 14*4.8"" CF",55%,2.7,65.0,670.0,3915.0,10.34,54.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 14*4.8"" CF",60%,3.3,79.0,766.0,4175.0,9.67,54.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 14*4.8"" CF",65%,4.1,98.0,872.0,4448.0,8.86,54.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 14*4.8"" CF",75%,5.8,139.0,1078.0,4941.0,7.74,54.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 14*4.8"" CF",85%,7.8,187.0,1270.0,5392.0,6.78,54.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 14*4.8"" CF",100%,10.4,250.0,1521.0,5766.0,6.09,54.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 15*5"" CF",50%,1.4,34.0,474.0,2860.0,14.11,56.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 15*5"" CF",55%,1.9,46.0,561.0,3108.0,12.3,56.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 15*5"" CF",60%,2.3,55.0,646.0,3336.0,11.7,56.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 15*5"" CF",65%,2.8,67.0,727.0,3540.0,10.82,56.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 15*5"" CF",75%,4.0,96.0,918.0,3966.0,9.56,56.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 15*5"" CF",85%,5.6,134.0,1110.0,4383.0,8.26,56.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 15*5"" CF",100%,7.5,180.0,1311.0,4711.0,7.28,56.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 16*5.4"" CF",50%,1.8,43.0,534.0,2689.0,12.36,75.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 16*5.4"" CF",55%,2.3,55.0,636.0,2928.0,11.52,75.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 16*5.4"" CF",60%,2.9,70.0,742.0,3135.0,10.66,75.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 16*5.4"" CF",65%,3.5,84.0,829.0,3325.0,9.87,75.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 16*5.4"" CF",75%,5.1,122.0,1028.0,3640.0,8.4,75.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 16*5.4"" CF",85%,7.1,170.0,1203.0,4000.0,7.06,75.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 16*5.4"" CF",100%,8.9,214.0,1295.0,4210.0,6.06,75.0
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 17*5.8"" CF",50%,2.1,50.0,586.0,2600.0,11.63,
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 17*5.8"" CF",55%,2.7,65.0,691.0,2801.0,10.66,
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 17*5.8"" CF",60%,3.4,82.0,802.0,2990.0,9.83,
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 17*5.8"" CF",65%,4.1,98.0,890.0,3162.0,9.04,
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 17*5.8"" CF",75%,5.9,142.0,1088.0,3455.0,7.68,
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 17*5.8"" CF",85%,8.4,202.0,1241.0,3670.0,6.16,
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,24.0,"T-MOTOR 17*5.8"" CF",100%,10.2,245.0,1290.0,3750.0,5.27,
MN1330 140kg MTOW Heavy Duty Industrial Multirotor UAV Motor,92.0,NS52 x20,40%,14.47,1331.0,14117.0,1253.0,10.61,117.0
MN1330 140kg MTOW Heavy Duty Industrial Multirotor UAV Motor,92.0,NS52 x20,42%,16.79,1545.0,15722.0,1318.0,10.18,117.0
MN1330 140kg MTOW Heavy Duty Industrial Multirotor UAV Motor,92.0,NS52 x20,44%,19.32,1778.0,17409.0,1383.0,9.79,117.0
MN1330 140kg MTOW Heavy Duty Industrial Multirotor UAV Motor,92.0,NS52 x20,46%,21.84,2010.0,19026.0,1444.0,9.47,117.0
MN1330 140kg MTOW Heavy Duty Industrial Multirotor UAV Motor,92.0,NS52 x20,48%,24.86,2289.0,20768.0,1508.0,9.07,117.0
MN1330 140kg MTOW Heavy Duty Industrial Multirotor UAV Motor,92.0,NS52 x20,50%,28.14,2590.0,22744.0,1575.0,8.78,117.0
MN1330 140kg MTOW Heavy Duty Industrial Multirotor UAV Motor,92.0,NS52 x20,52%,31.77,2925.0,24669.0,1638.0,8.44,117.0
MN1330 140kg MTOW Heavy Duty Industrial Multirotor UAV Motor,92.0,NS52 x20,54%,35.51,3269.0,26689.0,1701.0,8.17,117.0
MN1330 140kg MTOW Heavy Duty Industrial Multirotor UAV Motor,92.0,NS52 x20,56%,39.4,3626.0,28741.0,1760.0,7.93,117.0
MN1330 140kg MTOW Heavy Duty Industrial Multirotor UAV Motor,92.0,NS52 x20,58%,43.97,4046.0,30880.0,1822.0,7.63,117.0
MN1330 140kg MTOW Heavy Duty Industrial Multirotor UAV Motor,92.0,NS52 x20,60%,49.17,4526.0,33219.0,1886.0,7.34,117.0
MN1330 140kg MTOW Heavy Duty Industrial Multirotor UAV Motor,92.0,NS52 x20,62%,53.92,4962.0,35520.0,1946.0,7.16,117.0
MN1330 140kg MTOW Heavy Duty Industrial Multirotor UAV Motor,92.0,NS52 x20,64%,59.27,5455.0,37880.0,2005.0,6.94,117.0
MN1330 140kg MTOW Heavy Duty Industrial Multirotor UAV Motor,92.0,NS52 x20,66%,64.9,5972.0,40141.0,2061.0,6.72,117.0
MN1330 140kg MTOW Heavy Duty Industrial Multirotor UAV Motor,92.0,NS52 x20,68%,71.24,6555.0,42579.0,2118.0,6.5,117.0
MN1330 140kg MTOW Heavy Duty Industrial Multirotor UAV Motor,92.0,NS52 x20,70%,77.88,7166.0,45454.0,2176.0,6.34,117.0
MN1330 140kg MTOW Heavy Duty Industrial Multirotor UAV Motor,92.0,NS52 x20,80%,112.91,10390.0,57770.0,2434.0,5.56,117.0
MN1330 140kg MTOW Heavy Duty Industrial Multirotor UAV Motor,92.0,NS52 x20,90%,146.21,13450.0,66784.0,2623.0,4.97,117.0
MN1330 140kg MTOW Heavy Duty Industrial Multirotor UAV Motor,92.0,NS52 x20,100%,177.03,16270.0,75415.0,2744.0,4.64,117.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 12*4CF,50%,2.5,27.75,350.0,4000.0,12.61,40.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 12*4CF,65%,4.8,53.28,550.0,4900.0,10.32,40.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 12*4CF,75%,6.6,73.26,700.0,5500.0,9.56,40.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 12*4CF,85%,9.1,101.01,870.0,6300.0,8.61,40.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 12*4CF,100%,11.1,123.21,1000.0,6600.0,8.12,40.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 12*4CF,50%,3.8,56.24,580.0,5000.0,10.31,43.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 12*4CF,65%,7.4,109.52,880.0,6300.0,8.04,43.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 12*4CF,75%,10.3,152.44,1100.0,7300.0,7.22,43.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 12*4CF,85%,14.0,207.2,1360.0,7700.0,6.56,43.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 12*4CF,100%,16.8,248.64,1600.0,8300.0,6.44,43.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 13*4.4CF,50%,2.9,32.19,400.0,3800.0,12.43,42.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 13*4.4CF,65%,5.6,62.16,650.0,4900.0,10.46,42.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 13*4.4CF,75%,7.9,87.69,830.0,5300.0,9.47,42.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 13*4.4CF,85%,10.5,116.55,1000.0,6000.0,8.58,42.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 13*4.4CF,100%,12.6,139.86,1100.0,6400.0,7.87,42.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 13*4.4CF,50%,4.7,69.56,730.0,4900.0,10.49,47.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 13*4.4CF,65%,9.0,133.2,1120.0,6100.0,8.41,47.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 13*4.4CF,75%,12.3,182.04,1400.0,6800.0,7.69,47.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 13*4.4CF,85%,16.0,236.8,1600.0,7400.0,6.76,47.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 13*4.4CF,100%,19.4,287.12,1800.0,7850.0,6.27,47.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 14*4.8CF,50%,4.1,45.51,550.0,3500.0,12.09,43.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 14*4.8CF,65%,7.7,85.47,890.0,4500.0,10.41,43.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 14*4.8CF,75%,10.7,118.77,1060.0,4900.0,8.92,43.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 14*4.8CF,85%,14.5,160.95,1300.0,5500.0,8.08,43.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),11.1,T-MOTOR 14*4.8CF,100%,17.3,192.03,1460.0,5800.0,7.6,43.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),14.8,T-MOTOR 11*3.7CF,50%,3.2,47.36,460.0,5300.0,9.71,43.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),14.8,T-MOTOR 11*3.7CF,65%,6.0,88.8,710.0,6500.0,8.0,43.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),14.8,T-MOTOR 11*3.7CF,75%,8.2,121.36,870.0,7500.0,7.17,43.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),14.8,T-MOTOR 11*3.7CF,85%,11.0,162.8,1080.0,8200.0,6.63,43.0
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),14.8,T-MOTOR 11*3.7CF,100%,13.0,192.4,1230.0,8700.0,6.39,43.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,48.0,"T-MOTOR G32*11""CF",50%,20.4,979.0,7700.0,2612.0,7.86,132.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,48.0,"T-MOTOR G32*11""CF",55%,30.8,1478.0,10000.0,3000.0,6.76,132.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,48.0,"T-MOTOR G32*11""CF",60%,38.4,1843.0,11500.0,3215.0,6.24,132.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,48.0,"T-MOTOR G32*11""CF",65%,46.7,2242.0,13500.0,3428.0,6.02,132.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,48.0,"T-MOTOR G32*11""CF",75%,65.4,3139.0,16700.0,3832.0,5.32,132.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,48.0,"T-MOTOR G32*11""CF",85%,83.7,4018.0,19700.0,4164.0,4.9,132.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,48.0,"T-MOTOR G32*11""CF",100%,117.9,5659.0,24300.0,4609.0,4.29,132.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G30*10.5,40%,10.8,1079.0,7975.0,2679.0,7.4,97.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G30*10.5,45%,12.5,1243.0,8784.0,2823.0,7.1,97.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G30*10.5,50%,14.4,1431.0,9759.0,2964.0,6.8,97.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G30*10.5,55%,16.3,1622.0,10896.0,3106.0,6.7,97.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G30*10.5,60%,18.5,1838.0,11879.0,3235.0,6.5,97.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G30*10.5,65%,21.3,2110.0,13078.0,3406.0,6.2,97.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G30*10.5,70%,24.4,2420.0,14500.0,3571.0,6.0,97.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G30*10.5,75%,28.3,2809.0,15971.0,3769.0,5.7,97.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G30*10.5,80%,33.1,3278.0,17675.0,3964.0,5.4,97.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G30*10.5,90%,44.1,4355.0,21522.0,4342.0,4.9,97.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G30*10.5,100%,54.7,5389.0,24744.0,4654.0,4.6,97.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G32*11,40%,11.7,1161.0,8585.0,2485.0,7.4,115.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G32*11,45%,13.8,1374.0,9671.0,2639.0,7.0,115.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G32*11,50%,16.0,1589.0,10714.0,2777.0,6.7,115.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G32*11,55%,18.7,1854.0,11871.0,2922.0,6.4,115.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G32*11,60%,21.4,2125.0,13128.0,3055.0,6.2,115.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G32*11,65%,25.3,2512.0,14798.0,3235.0,5.9,115.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G32*11,70%,29.8,2955.0,16439.0,3414.0,5.6,115.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G32*11,75%,34.9,3450.0,18380.0,3596.0,5.3,115.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G32*11,80%,42.1,4156.0,20889.0,3803.0,5.0,115.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G32*11,90%,54.7,5392.0,24982.0,4125.0,4.6,115.0
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,100.0,G32*11,100%,68.5,6727.0,28711.0,4397.0,4.3,115.0
Antigravity MN8012 KV100 UAV Motor - Ultralight & Endurance,48.0,"T-MOTOR G28*9.2""",40%,2.63,125.0,1674.0,1632.0,13.34,45.0
Antigravity MN8012 KV100 UAV Motor - Ultralight & Endurance,48.0,"T-MOTOR G28*9.2""",45%,3.51,167.0,2076.0,1811.0,12.41,45.0
Antigravity MN8012 KV100 UAV Motor - Ultralight & Endurance,48.0,"T-MOTOR G28*9.2""",50%,4.54,217.0,2565.0,2003.0,11.85,45.0
Antigravity MN8012 KV100 UAV Motor - Ultralight & Endurance,48.0,"T-MOTOR G28*9.2""",55%,6.12,292.0,3194.0,2218.0,10.96,45.0
Antigravity MN8012 KV100 UAV Motor - Ultralight & Endurance,48.0,"T-MOTOR G28*9.2""",60%,7.85,374.0,3810.0,2412.0,10.19,45.0
Antigravity MN8012 KV100 UAV Motor - Ultralight & Endurance,48.0,"T-MOTOR G28*9.2""",65%,9.63,458.0,4433.0,2594.0,9.68,45.0
Antigravity MN8012 KV100 UAV Motor - Ultralight & Endurance,48.0,"T-MOTOR G28*9.2""",70%,11.85,563.0,5132.0,2781.0,9.11,45.0
Antigravity MN8012 KV100 UAV Motor - Ultralight & Endurance,48.0,"T-MOTOR G28*9.2""",75%,14.41,685.0,5872.0,2968.0,8.58,45.0
Antigravity MN8012 KV100 UAV Motor - Ultralight & Endurance,48.0,"T-MOTOR G28*9.2""",80%,16.78,796.0,6513.0,3125.0,8.18,45.0
Antigravity MN8012 KV100 UAV Motor - Ultralight & Endurance,48.0,"T-MOTOR G28*9.2""",90%,22.52,1066.0,7936.0,3431.0,7.45,45.0
Antigravity MN8012 KV100 UAV Motor - Ultralight & Endurance,48.0,"T-MOTOR G28*9.2""",100%,29.64,1399.0,9546.0,3751.0,6.83,45.0
Antigravity MN8012 KV100 UAV Motor - Ultralight & Endurance,48.0,"T-MOTOR G29*9.5""",40%,3.06,146.0,1987.0,1619.0,13.59,56.0
Antigravity MN8012 KV100 UAV Motor - Ultralight & Endurance,48.0,"T-MOTOR G29*9.5""",45%,4.19,200.0,2487.0,1802.0,12.45,56.0
Antigravity MN8012 KV100 UAV Motor - Ultralight & Endurance,48.0,"T-MOTOR G29*9.5""",50%,5.75,274.0,3135.0,2008.0,11.43,56.0
Antigravity MN8012 KV100 UAV Motor - Ultralight & Endurance,48.0,"T-MOTOR G29*9.5""",55%,7.46,356.0,3788.0,2203.0,10.66,56.0
Antigravity MN8012 KV100 UAV Motor - Ultralight & Endurance,48.0,"T-MOTOR G29*9.5""",60%,9.44,449.0,4447.0,2384.0,9.9,56.0
Antigravity MN8012 KV100 UAV Motor - Ultralight & Endurance,48.0,"T-MOTOR G29*9.5""",65%,11.74,558.0,5169.0,2561.0,9.27,56.0
Antigravity MN8012 KV100 UAV Motor - Ultralight & Endurance,48.0,"T-MOTOR G29*9.5""",70%,14.19,674.0,5892.0,2730.0,8.75,56.0
Antigravity MN8012 KV100 UAV Motor - Ultralight & Endurance,48.0,"T-MOTOR G29*9.5""",75%,17.04,808.0,6679.0,2909.0,8.27,56.0
